Name,Date,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,CMP / BV,EPS 12M Rs.,ROE %,Debt / Eq,Ind PE,PEG
Coal India,"08/05/2024, ""to"", 09/05/2024",-20.899999999999977,-0.2999999999999998,-12942.830000000016,0.2400000000000002,0.0,0.0,0.0,0.0,0.0,-0.04999999999999982,0.0,0.0,0.0,-0.3000000000000007,-0.019999999999999962
Divi's Lab.,"08/05/2024, ""to"", 09/05/2024",-140.05000000000018,-2.75,-3708.5099999999948,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,-0.29000000000000004,0.0,0.0,0.0,0.0,-0.1800000000000006
Dr Reddy's Labs,"08/05/2024, ""to"", 09/05/2024",-172.64999999999964,-0.5700000000000003,-2855.1100000000006,0.0,0.0,0.0,0.0,0.0,0.0,-0.16000000000000014,0.0,0.0,0.0,-0.3300000000000054,-0.020000000000000018
Eicher Motors,"08/05/2024, ""to"", 09/05/2024",-30.0,-0.1599999999999966,-863.5200000000041,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,-0.03000000000000025,0.0,0.0,0.0,-2.020000000000003,-0.020000000000000018
Grasim Inds,"08/05/2024, ""to"", 09/05/2024",-19.350000000000364,-0.16000000000000014,-1426.9400000000023,0.0,0.0,0.0,0.0,0.0,0.0,-0.050000000000000044,0.0,0.0,0.0,0.030000000000001137,0.0
HCL Technologies,"08/05/2024, ""to"", 09/05/2024",6.0499999999999545,0.10000000000000142,1574.7799999999697,-0.06999999999999984,0.0,0.0,0.0,0.0,0.0,0.04999999999999982,0.0,0.0,0.0,0.00999999999999801,0.010000000000000231
HDFC Bank,"08/05/2024, ""to"", 09/05/2024",-35.15000000000009,-0.34999999999999787,-26516.14000000013,0.0,0.0,0.0,0.0,0.0,0.0,-0.029999999999999805,0.0,0.0,0.0,-0.009999999999999787,-0.020000000000000018
HDFC Life Insur.,"08/05/2024, ""to"", 09/05/2024",-10.900000000000091,-1.4200000000000017,-2366.050000000003,0.0,0.0,0.0,0.0,0.0,0.0,-0.22000000000000064,0.0,0.0,0.0,0.04999999999999716,-0.2400000000000002
Hero Motocorp,"08/05/2024, ""to"", 09/05/2024",140.54999999999927,0.6899999999999977,2838.8199999999924,-0.10999999999999988,0.0,0.0,0.0,0.0,0.0,0.14000000000000057,0.0,0.0,0.0,-2.020000000000003,0.2400000000000002
Hind. Unilever,"08/05/2024, ""to"", 09/05/2024",-15.400000000000091,-0.36999999999999744,-3572.1999999999534,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999574,0.0,0.0,0.0,-0.030000000000001137,-0.03000000000000025
Hindalco Inds.,"08/05/2024, ""to"", 09/05/2024",-14.899999999999977,-0.3999999999999986,-3394.389999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030000000000001137,-0.019999999999999907
ICICI Bank,"08/05/2024, ""to"", 09/05/2024",-7.2999999999999545,-0.029999999999997584,-5233.739999999991,0.0,0.0,0.0,0.0,0.0,0.0,-0.040000000000000036,0.0,0.0,0.0,-0.009999999999999787,0.0
ITC,"08/05/2024, ""to"", 09/05/2024",-15.899999999999977,-0.9599999999999973,-19788.159999999916,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,-0.34999999999999964,0.0,0.0,0.0,-0.05999999999999872,-0.07999999999999963
IndusInd Bank,"08/05/2024, ""to"", 09/05/2024",-45.649999999999864,-0.40000000000000036,-3549.3099999999977,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.029999999999999805,0.0,0.0,0.0,-0.009999999999999787,-0.019999999999999907
Infosys,"08/05/2024, ""to"", 09/05/2024",9.549999999999955,0.240000000000002,3881.6199999999953,-0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.009999999999999787,0.0,0.0,0.0,0.00999999999999801,0.020000000000000018
JSW Steel,"08/05/2024, ""to"", 09/05/2024",-26.450000000000045,-0.6199999999999974,-6566.549999999988,0.0,0.0,0.0,0.0,0.0,0.0,-0.020000000000000018,0.0,0.0,0.0,-0.14999999999999858,0.05999999999999983
Kotak Mah. Bank,"08/05/2024, ""to"", 09/05/2024",-5.25,-0.09999999999999787,-963.9199999999837,0.0,0.0,0.0,0.0,0.0,0.0,-0.03000000000000025,0.0,0.0,0.0,-0.009999999999999787,0.0
LTIMindtree,"08/05/2024, ""to"", 09/05/2024",-52.0,-0.35999999999999943,-1553.429999999993,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,-0.04999999999999982,0.0,0.0,0.0,0.00999999999999801,-0.020000000000000018
Larsen & Toubro,"08/05/2024, ""to"", 09/05/2024",-211.4000000000001,-3.3200000000000003,-28355.280000000028,0.040000000000000036,1420.33,-9.889999999999999,11950.859999999993,-3.8499999999999996,1.8000000000000007,-0.9500000000000002,4.010000000000005,3.110000000000001,-0.20999999999999996,0.09000000000000341,-8.43
M & M,"08/05/2024, ""to"", 09/05/2024",26.65000000000009,0.21999999999999886,3289.2299999999814,0.0,0.0,0.0,0.0,0.0,0.0,0.040000000000000036,0.0,0.0,0.0,0.010000000000005116,0.020000000000000018
